timestamp,roll_angle,steering_output,final_steer,target_speed,actual_speed_kmh,actual_handlebar_angle,p_term,i_term,d_term,error,stability_factor,pos_x,pos_y,pos_z,yaw,pitch,roll_world,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.010000,0.003,0.047738,0.047738,6.173,0.00,-0.000003,-0.011776,-0.000004,-0.035958,0.000,0.032,-2.008,-31.164,0.464,3.140136,-0.002980,-0.024249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.020000,0.002,0.040879,0.040879,6.173,2.00,0.004773,-0.009795,-0.000008,-0.031076,0.000,0.027,-2.008,-31.163,0.462,3.140459,-0.002480,-0.026862,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.030000,0.002,0.036399,0.036399,6.173,3.60,0.008383,-0.008127,-0.000013,-0.028259,0.000,0.024,-2.008,-31.162,0.461,3.140333,-0.002066,-0.026737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.040000,0.001,0.028309,0.028309,6.173,4.88,0.011185,-0.005794,-0.000015,-0.022500,0.000,0.019,-2.008,-31.161,0.461,3.140007,-0.001489,-0.025238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.050000,0.001,0.016775,0.016775,6.173,5.90,0.012898,-0.002612,-0.000016,-0.014147,-0.003,0.011,-2.008,-31.160,0.460,3.139432,-0.000703,-0.022855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.060000,0.000,-0.021939,-0.021939,6.173,6.72,0.013286,-0.001861,-0.000017,0.023817,-0.002,0.015,-2.008,-31.157,0.459,3.139519,-0.000512,-0.022411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.070000,-0.000,-0.027832,-0.027832,6.173,7.38,0.009764,0.001094,-0.000016,0.026754,-0.002,0.019,-2.008,-31.154,0.460,3.138868,0.000213,-0.022345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.080000,-0.001,-0.037862,-0.037862,6.173,7.90,0.006005,0.004249,-0.000015,0.033628,-0.001,0.025,-2.008,-31.151,0.460,3.138191,0.000986,-0.022335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.090000,-0.002,-0.043974,-0.043974,6.173,8.32,0.001618,0.007804,-0.000012,0.036182,-0.001,0.029,-2.008,-31.148,0.460,3.137417,0.001858,-0.022328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.100000,-0.003,-0.053469,-0.053469,6.173,8.65,-0.002941,0.011500,-0.000009,0.041978,-0.000,0.036,-2.008,-31.144,0.460,3.136637,0.002765,-0.022323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
