timestamp,roll_angle,steering_output,final_steer,target_speed,actual_speed_kmh,actual_handlebar_angle,p_term,i_term,d_term,error,stability_factor,pos_x,pos_y,pos_z,yaw,pitch,roll_world,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.010000,0.003,0.044176,0.044176,6.173,0.00,-0.000003,-0.013234,-0.000004,-0.030937,0.000,0.029,-2.118,-31.165,0.575,3.140151,-0.003008,-0.044245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.020000,0.003,0.040113,0.040113,6.173,2.00,0.004416,-0.012015,-0.000009,-0.028089,0.000,0.027,-2.118,-31.164,0.574,3.140221,-0.002734,-0.044764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.030000,0.002,0.035360,0.035360,6.173,3.60,0.007986,-0.010059,-0.000014,-0.025287,0.000,0.024,-2.118,-31.163,0.574,3.140075,-0.002305,-0.044229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.040000,0.002,0.028963,0.028963,6.173,4.88,0.010724,-0.007363,-0.000018,-0.021582,0.000,0.019,-2.118,-31.162,0.573,3.139729,-0.001718,-0.042861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.050000,0.002,0.029517,0.029517,6.173,5.90,0.012548,-0.007524,-0.000021,-0.021973,-0.003,0.020,-2.118,-31.160,0.573,3.140089,-0.001738,-0.042764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.060000,0.002,-0.001261,-0.001261,6.173,6.72,0.014245,-0.007579,-0.000024,0.008864,-0.003,0.001,-2.118,-31.157,0.573,3.140412,-0.001736,-0.042894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.070000,0.001,-0.004814,-0.004814,6.173,7.38,0.012695,-0.005565,-0.000026,0.010405,-0.002,0.003,-2.118,-31.155,0.573,3.140100,-0.001302,-0.043026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.080000,0.001,-0.009126,-0.009126,6.173,7.90,0.010944,-0.003364,-0.000027,0.012518,-0.002,0.006,-2.118,-31.152,0.573,3.139756,-0.000828,-0.043135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.090000,0.000,-0.013250,-0.013250,6.173,8.32,0.008937,-0.000949,-0.000028,0.014226,-0.002,0.009,-2.118,-31.148,0.573,3.139371,-0.000307,-0.043223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.100000,-0.000,-0.022758,-0.022758,6.173,8.65,0.006719,0.001647,-0.000027,0.021138,-0.002,0.015,-2.118,-31.145,0.573,3.138955,0.000252,-0.043298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
