timestamp,roll_angle,steering_output,final_steer,target_speed,actual_speed_kmh,actual_handlebar_angle,p_term,i_term,d_term,error,stability_factor,pos_x,pos_y,pos_z,yaw,pitch,roll_world,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.002000,0.005,0.025053,0.025053,6.173,0.00,-0.000001,-0.024884,0.000000,-0.000169,0.000,0.017,-17.715,-19.257,0.367,3.141444,-0.004524,-0.000591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.004000,0.005,0.024576,0.024576,6.173,1.30,0.000375,-0.024857,-0.000001,0.000282,0.000,0.016,-17.715,-19.257,0.367,3.141464,-0.004520,-0.000933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.006000,0.005,0.022507,0.022507,6.173,2.99,0.000859,-0.024807,-0.000001,0.002302,0.000,0.015,-17.715,-19.257,0.367,3.141488,-0.004511,-0.001442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.008000,0.004,0.022363,0.022363,6.173,4.39,0.001292,-0.024714,-0.000022,0.002374,0.000,0.015,-17.715,-19.257,0.367,3.141500,-0.004494,-0.002026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.010000,0.004,0.021514,0.021514,6.173,5.51,0.001714,-0.024582,-0.000025,0.003094,-0.005,0.014,-17.715,-19.257,0.366,3.141505,-0.004470,-0.002675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.012000,0.004,0.014558,0.014558,6.173,6.41,0.002110,-0.024408,-0.000026,0.009876,-0.005,0.010,-17.715,-19.257,0.366,3.141500,-0.004438,-0.003391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.014000,0.004,0.006598,0.006598,6.173,7.13,0.002359,-0.024175,-0.000026,0.017603,-0.005,0.004,-17.715,-19.256,0.366,3.141477,-0.004396,-0.004172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.016000,0.004,0.008037,0.008037,6.173,7.70,0.002444,-0.023879,-0.000042,0.015884,-0.004,0.005,-17.715,-19.256,0.365,3.141432,-0.004343,-0.005020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.018000,0.004,0.006101,0.006101,6.173,8.16,0.002556,-0.023579,-0.000045,0.017523,-0.004,0.004,-17.715,-19.256,0.365,3.141389,-0.004288,-0.005872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.020000,0.004,-0.004051,-0.004051,6.173,8.53,0.002627,-0.023268,-0.000045,0.027364,-0.004,0.003,-17.715,-19.256,0.365,3.141343,-0.004232,-0.006725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.022000,0.004,-0.009912,-0.009912,6.173,8.82,0.002493,-0.022927,-0.000045,0.032884,-0.004,0.007,-17.715,-19.256,0.364,3.141279,-0.004171,-0.007577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.024000,0.004,-0.002473,-0.002473,6.173,9.06,0.002245,-0.022567,-0.000059,0.025099,-0.004,0.002,-17.715,-19.255,0.364,3.141205,-0.004106,-0.008429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.026000,0.004,-0.004148,-0.004148,6.173,9.25,0.002151,-0.022220,-0.000062,0.026431,-0.004,0.003,-17.715,-19.255,0.363,3.141144,-0.004044,-0.009280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.028000,0.004,-0.014809,-0.014809,6.173,9.40,0.002025,-0.021865,-0.000063,0.036737,-0.004,0.010,-17.715,-19.255,0.362,3.141081,-0.003981,-0.010132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.030000,0.004,-0.016962,-0.016962,6.173,9.52,0.001688,-0.021479,-0.000063,0.038504,-0.004,0.011,-17.715,-19.255,0.362,3.141000,-0.003912,-0.010983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.032000,0.004,-0.005609,-0.005609,6.173,9.61,0.001315,-0.021084,-0.000077,0.026770,-0.004,0.004,-17.715,-19.255,0.361,3.140915,-0.003842,-0.011834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.034000,0.004,-0.007583,-0.007583,6.173,9.69,0.001177,-0.020713,-0.000079,0.028375,-0.004,0.005,-17.715,-19.254,0.360,3.140852,-0.003776,-0.012684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.036000,0.004,-0.018933,-0.018933,6.173,9.75,0.001002,-0.020333,-0.000080,0.039346,-0.004,0.013,-17.715,-19.254,0.360,3.140786,-0.003708,-0.013535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.038000,0.004,-0.019799,-0.019799,6.173,9.80,0.000603,-0.019921,-0.000080,0.039800,-0.004,0.013,-17.715,-19.254,0.359,3.140700,-0.003635,-0.014385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.040000,0.004,-0.008344,-0.008344,6.173,9.84,0.000195,-0.019503,-0.000092,0.027939,-0.004,0.006,-17.715,-19.254,0.358,3.140614,-0.003561,-0.015235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.042000,0.003,-0.009917,-0.009917,6.173,8.55,0.000024,-0.019154,-0.000095,0.029166,-0.004,0.007,-17.715,-19.253,0.357,3.140543,-0.003500,-0.015815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.044000,0.003,-0.018106,-0.018106,6.173,6.99,-0.000175,-0.018825,-0.000095,0.037026,-0.004,0.012,-17.714,-19.253,0.357,3.140474,-0.003441,-0.016133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.046000,0.003,-0.016845,-0.016845,6.173,5.70,-0.000533,-0.018483,-0.000095,0.035424,-0.004,0.011,-17.714,-19.253,0.356,3.140396,-0.003380,-0.016197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.048000,0.003,-0.005032,-0.005032,6.173,4.63,-0.000859,-0.018168,-0.000106,0.023306,-0.004,0.003,-17.714,-19.253,0.356,3.140326,-0.003324,-0.016057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.050000,0.003,-0.006033,-0.006033,6.173,3.75,-0.000943,-0.017919,-0.000108,0.024061,-0.003,0.004,-17.714,-19.252,0.356,3.140279,-0.003279,-0.015760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.052000,0.003,-0.004528,-0.004528,6.173,3.03,-0.001045,-0.017678,-0.000248,0.022454,-0.003,0.003,-17.714,-19.252,0.355,3.140233,-0.003236,-0.015351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.054000,0.003,-0.000455,-0.000455,6.173,2.45,-0.001115,-0.017452,-0.000248,0.018156,-0.003,0.000,-17.714,-19.252,0.355,3.140192,-0.003194,-0.014867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
