timestamp,roll_angle,steering_output,final_steer,target_speed,actual_speed_kmh,actual_handlebar_angle,p_term,i_term,d_term,error,stability_factor,pos_x,pos_y,pos_z,yaw,pitch,roll_world,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.002000,0.005,0.009203,0.009203,4.321,0.00,-0.000001,-0.009049,0.000000,-0.000155,0.000,0.006,-17.715,-19.257,0.367,3.141444,-0.004524,-0.000591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.004000,0.005,0.008768,0.008768,4.321,1.30,0.000184,-0.009030,-0.000002,0.000265,0.000,0.006,-17.715,-19.257,0.367,3.141447,-0.004515,-0.000933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.006000,0.004,0.007592,0.007592,4.321,2.44,0.000355,-0.008998,-0.000003,0.001410,0.000,0.005,-17.715,-19.257,0.367,3.141443,-0.004499,-0.001355,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.008000,0.004,0.007460,0.007460,4.321,3.35,0.000500,-0.008951,-0.000023,0.001515,0.000,0.005,-17.715,-19.257,0.367,3.141429,-0.004476,-0.001843,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.010000,0.004,0.006382,0.006382,4.321,4.08,0.000639,-0.008890,-0.000026,0.002534,-0.005,0.004,-17.715,-19.257,0.366,3.141408,-0.004446,-0.002398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.012000,0.004,0.003720,0.003720,4.321,4.67,0.000754,-0.008819,-0.000027,0.005126,-0.005,0.002,-17.715,-19.257,0.366,3.141381,-0.004410,-0.002996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.014000,0.004,0.001540,0.001540,4.321,5.13,0.000814,-0.008744,-0.000028,0.007232,-0.004,0.001,-17.715,-19.257,0.366,3.141349,-0.004373,-0.003593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.016000,0.004,0.002262,0.002262,4.321,5.51,0.000828,-0.008665,-0.000038,0.006441,-0.004,0.002,-17.715,-19.256,0.365,3.141313,-0.004334,-0.004189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.018000,0.004,0.000074,0.000074,4.321,5.81,0.000857,-0.008587,-0.000039,0.008553,-0.004,0.000,-17.715,-19.256,0.365,3.141279,-0.004295,-0.004786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.020000,0.004,-0.001482,-0.001482,4.321,6.04,0.000841,-0.008506,-0.000041,0.010029,-0.004,0.001,-17.715,-19.256,0.365,3.141240,-0.004255,-0.005382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.022000,0.004,-0.000429,-0.000429,4.321,6.24,0.000795,-0.008422,-0.000044,0.008895,-0.004,0.000,-17.715,-19.256,0.364,3.141199,-0.004214,-0.005978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.024000,0.004,0.001674,0.001674,4.321,6.39,0.000770,-0.008339,-0.000054,0.006719,-0.004,0.001,-17.715,-19.256,0.364,3.141160,-0.004172,-0.006574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.026000,0.004,-0.000766,-0.000766,4.321,6.51,0.000788,-0.008257,-0.000055,0.009077,-0.004,0.001,-17.715,-19.256,0.363,3.141125,-0.004132,-0.007170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.028000,0.004,-0.001408,-0.001408,4.321,6.61,0.000757,-0.008171,-0.000056,0.009635,-0.004,0.001,-17.715,-19.256,0.363,3.141086,-0.004090,-0.007766,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.030000,0.004,-0.001929,-0.001929,4.321,6.69,0.000714,-0.008084,-0.000057,0.010070,-0.004,0.001,-17.715,-19.255,0.362,3.141046,-0.004047,-0.008361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.032000,0.004,-0.001001,-0.001001,4.321,6.75,0.000661,-0.007996,-0.000069,0.009067,-0.004,0.001,-17.715,-19.255,0.361,3.141005,-0.004004,-0.008957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.034000,0.004,-0.003374,-0.003374,4.321,6.80,0.000628,-0.007908,-0.000070,0.011352,-0.004,0.002,-17.715,-19.255,0.361,3.140966,-0.003960,-0.009552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.036000,0.004,-0.010349,-0.010349,4.321,6.84,0.000548,-0.007817,-0.000071,0.018237,-0.004,0.007,-17.715,-19.255,0.360,3.140924,-0.003916,-0.010146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.038000,0.004,-0.017435,-0.017435,4.321,6.87,0.000330,-0.007719,-0.000071,0.025226,-0.004,0.012,-17.715,-19.255,0.359,3.140868,-0.003868,-0.010741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.040000,0.004,-0.015819,-0.015819,4.321,6.90,-0.000025,-0.007614,-0.000074,0.023508,-0.004,0.011,-17.715,-19.255,0.358,3.140800,-0.003816,-0.011335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
