timestamp,roll_angle,steering_output,final_steer,target_speed,actual_speed_kmh,actual_handlebar_angle,p_term,i_term,d_term,error,stability_factor,pos_x,pos_y,pos_z,yaw,pitch,roll_world,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.002000,-0.003,-0.005660,-0.005660,4.321,0.00,-0.003692,0.005547,0.000000,0.000113,0.000,0.004,-17.493,-18.633,0.360,3.137252,0.002771,-0.000487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.004000,-0.003,-0.006510,-0.006510,4.321,1.40,-0.003731,0.005651,0.000004,0.000856,0.000,0.004,-17.493,-18.633,0.360,3.137143,0.002822,-0.000846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.006000,-0.003,-0.009538,-0.009538,4.321,2.52,-0.003787,0.005762,0.000005,0.003771,0.000,0.006,-17.493,-18.633,0.359,3.137030,0.002876,-0.001203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.008000,-0.003,-0.010015,-0.010015,4.321,3.42,-0.003902,0.005892,0.000016,0.004106,0.000,0.007,-17.493,-18.633,0.359,3.136903,0.002939,-0.001560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.010000,-0.003,-0.011482,-0.011482,4.321,4.13,-0.004024,0.006027,0.000020,0.005435,0.003,0.008,-17.493,-18.633,0.359,3.136775,0.003004,-0.001917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.012000,-0.003,-0.012715,-0.012715,4.321,4.71,-0.004173,0.006173,0.000023,0.006520,0.003,0.008,-17.493,-18.633,0.359,3.136639,0.003075,-0.002274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.014000,-0.003,-0.014984,-0.014984,4.321,5.16,-0.004344,0.006326,0.000025,0.008633,0.003,0.010,-17.493,-18.633,0.358,3.136498,0.003150,-0.002631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.016000,-0.003,-0.012818,-0.012818,4.321,5.53,-0.004557,0.006494,0.000034,0.006290,0.003,0.009,-17.493,-18.633,0.358,3.136348,0.003231,-0.002987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.018000,-0.003,-0.013989,-0.013989,4.321,5.83,-0.004722,0.006653,0.000038,0.007297,0.003,0.009,-17.493,-18.633,0.358,3.136208,0.003309,-0.003343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.020000,-0.003,-0.016463,-0.016463,4.321,6.06,-0.004907,0.006821,0.000040,0.009602,0.003,0.011,-17.493,-18.633,0.357,3.136062,0.003390,-0.003699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.022000,-0.004,-0.016973,-0.016973,4.321,6.25,-0.005138,0.007003,0.000044,0.009926,0.003,0.011,-17.493,-18.632,0.357,3.135906,0.003478,-0.004055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.024000,-0.004,-0.015046,-0.015046,4.321,6.40,-0.005375,0.007190,0.000053,0.007803,0.003,0.010,-17.493,-18.632,0.356,3.135749,0.003569,-0.004410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.026000,-0.004,-0.016264,-0.016264,4.321,6.52,-0.005569,0.007369,0.000057,0.008838,0.003,0.011,-17.493,-18.632,0.356,3.135601,0.003656,-0.004766,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.028000,-0.004,-0.018741,-0.018741,4.321,6.62,-0.005782,0.007556,0.000059,0.011125,0.003,0.012,-17.493,-18.632,0.355,3.135448,0.003747,-0.005121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.030000,-0.004,-0.016793,-0.016793,4.321,6.69,-0.006042,0.007758,0.000065,0.008970,0.004,0.011,-17.493,-18.632,0.354,3.135284,0.003845,-0.005476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.032000,-0.004,-0.016286,-0.016286,4.321,6.75,-0.006257,0.007952,0.000074,0.008260,0.004,0.011,-17.492,-18.632,0.354,3.135130,0.003939,-0.005830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.034000,-0.004,-0.017727,-0.017727,4.321,6.80,-0.006457,0.008146,0.000078,0.009503,0.004,0.012,-17.492,-18.632,0.353,3.134980,0.004032,-0.006185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.036000,-0.004,-0.022184,-0.022184,4.321,6.00,-0.006683,0.008432,0.000080,0.013672,0.004,0.015,-17.492,-18.632,0.353,3.134836,0.004175,-0.006182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.038000,-0.004,-0.021524,-0.021524,4.321,5.09,-0.006993,0.008743,0.000085,0.012695,0.004,0.014,-17.492,-18.632,0.352,3.134671,0.004330,-0.006025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.040000,-0.005,-0.021458,-0.021458,4.321,4.30,-0.007283,0.009049,0.000098,0.012312,0.004,0.014,-17.492,-18.631,0.352,3.134509,0.004484,-0.005770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
