timestamp,roll_angle,steering_output,final_steer,target_speed,actual_speed_kmh,actual_handlebar_angle,p_term,i_term,d_term,error,stability_factor,pos_x,pos_y,pos_z,yaw,pitch,roll_world,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.002000,-0.010,-0.019904,-0.019904,4.321,0.00,0.022108,0.019894,0.000000,0.000009,0.000,0.013,0.783,-46.440,0.363,2.617895,0.008486,-0.005197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.004000,-0.010,-0.022941,-0.022941,4.321,1.40,0.021268,0.020179,0.000001,0.002761,0.000,0.015,0.783,-46.440,0.363,2.617712,0.008442,-0.005558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.006000,-0.010,-0.025049,-0.025049,4.321,2.52,0.020384,0.020475,0.000003,0.004571,0.000,0.017,0.783,-46.440,0.363,2.617517,0.008405,-0.005917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.008000,-0.010,-0.026148,-0.026148,4.321,3.42,0.019475,0.020780,0.000007,0.005361,0.000,0.017,0.783,-46.440,0.363,2.617316,0.008372,-0.006277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.010000,-0.011,-0.027506,-0.027506,4.321,4.13,0.018563,0.021088,0.000010,0.006409,0.010,0.018,0.783,-46.440,0.363,2.617114,0.008341,-0.006638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.012000,-0.011,-0.034191,-0.034191,4.321,4.71,0.017642,0.021400,0.000010,0.012781,0.010,0.023,0.783,-46.440,0.362,2.616909,0.008312,-0.007000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.014000,-0.011,-0.035389,-0.035389,4.321,5.16,0.016605,0.021743,0.000011,0.013634,0.010,0.024,0.783,-46.440,0.362,2.616676,0.008300,-0.007363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.016000,-0.011,-0.034344,-0.034344,4.321,5.53,0.015565,0.022090,0.000021,0.012234,0.010,0.023,0.783,-46.440,0.362,2.616441,0.008289,-0.007726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.018000,-0.011,-0.034454,-0.034454,4.321,5.83,0.014567,0.022428,0.000028,0.011998,0.011,0.023,0.783,-46.440,0.361,2.616215,0.008273,-0.008089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.020000,-0.011,-0.037229,-0.037229,4.321,6.06,0.013586,0.022765,0.000029,0.014436,0.011,0.025,0.783,-46.440,0.361,2.615992,0.008256,-0.008454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
