timestamp,roll_angle,steering_output,final_steer,target_speed,actual_speed_kmh,actual_handlebar_angle,p_term,i_term,d_term,error,stability_factor,pos_x,pos_y,pos_z,yaw,pitch,roll_world,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.002000,-0.010,-0.049870,-0.049870,4.321,0.00,0.022108,0.049736,0.000000,0.000134,0.000,0.033,2.348,-43.730,0.379,2.617895,0.008486,-0.005197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.004000,-0.010,-0.053172,-0.053172,4.321,1.40,0.021177,0.050505,0.000002,0.002664,0.000,0.035,2.348,-43.730,0.379,2.617691,0.008455,-0.005558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.006000,-0.010,-0.054558,-0.054558,4.321,2.52,0.019742,0.051588,0.000036,0.002934,0.000,0.036,2.348,-43.730,0.379,2.617370,0.008496,-0.005918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.008000,-0.011,-0.055977,-0.055977,4.321,3.42,0.018256,0.052709,0.000071,0.003197,0.000,0.037,2.348,-43.730,0.378,2.617037,0.008546,-0.006280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.010000,-0.011,-0.058251,-0.058251,4.321,4.13,0.016771,0.053835,0.000080,0.004336,0.010,0.039,2.348,-43.730,0.378,2.616703,0.008596,-0.006642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.012000,-0.011,-0.072997,-0.072997,4.321,4.71,0.015270,0.054977,0.000081,0.017940,0.010,0.049,2.348,-43.730,0.378,2.616365,0.008649,-0.007005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.014000,-0.011,-0.077775,-0.077775,4.321,5.16,0.013505,0.056290,0.000083,0.021403,0.010,0.052,2.348,-43.730,0.378,2.615965,0.008740,-0.007370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.016000,-0.012,-0.079573,-0.079573,4.321,5.53,0.011680,0.057646,0.000101,0.021826,0.011,0.053,2.348,-43.729,0.377,2.615550,0.008841,-0.007735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.018000,-0.012,-0.082703,-0.082703,4.321,5.83,0.009855,0.059008,0.000107,0.023588,0.011,0.055,2.348,-43.729,0.377,2.615134,0.008943,-0.008100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.020000,-0.012,-0.096973,-0.096973,4.321,6.06,0.008004,0.060393,0.000108,0.036472,0.011,0.065,2.348,-43.729,0.376,2.614712,0.009049,-0.008467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
