timestamp,roll_angle,steering_output,target_speed,p_term,i_term,d_term,error,stability_factor
0.005000,45.000,-0.300000,3.000,-360.000000,-0.171297,-709.294434,0.000,0.938
0.010000,0.000,-0.300000,3.000,0.000000,-0.171297,-703.080322,0.000,0.938
0.015000,-15.000,-0.300000,3.000,120.000000,2.591343,-698.193726,0.000,0.938
0.020000,-22.500,-0.300000,3.000,180.000000,5.320791,-694.484131,0.000,0.938
0.025000,-27.000,-0.300000,3.000,216.000000,8.458910,-692.161133,-45.000,0.938
0.030000,-30.000,0.300000,3.000,240.000000,11.526272,18.893753,0.000,0.938
0.035000,-32.143,0.300000,3.000,257.142853,14.227056,14.209857,15.000,0.938
0.040000,-33.750,0.300000,3.000,270.000000,15.332328,12.267719,22.500,0.938
0.045000,-35.000,0.300000,3.000,280.000000,16.422844,10.965296,27.000,0.938
0.050000,-36.000,0.300000,3.000,288.000000,17.400129,10.852453,30.000,0.938
0.055000,-45.000,0.300000,3.000,360.000000,18.842299,25.941601,32.143,0.938
0.060000,-36.000,0.300000,3.000,288.000000,19.913097,6.256758,33.750,0.938
0.065000,-27.000,0.300000,3.000,216.000000,20.688208,-15.497952,35.000,0.938
0.070000,-18.000,0.300000,3.000,144.000000,21.225763,-35.986923,36.000,0.938
0.075000,-9.000,0.300000,3.000,72.000000,21.509245,-55.341076,45.000,0.938
0.080000,0.000,-0.300000,3.000,0.000000,21.509245,-92.154617,36.000,0.938
0.085000,9.000,-0.300000,3.000,-72.000000,21.253704,-93.018433,27.000,0.938
0.090000,18.000,-0.300000,3.000,-144.000000,20.735088,-92.950409,18.000,0.938
0.095000,27.000,-0.300000,3.000,-216.000000,20.024183,-95.377640,9.000,0.938
0.100000,36.000,-0.300000,3.000,-288.000000,0.000000,-1.511557,0.000,0.938
0.105000,45.000,-0.300000,3.000,-360.000000,-1.341270,-19.628716,0.000,0.938
0.110000,36.000,-0.300000,3.000,-288.000000,-2.428520,-1.748750,0.000,0.938
0.115000,27.000,-0.300000,3.000,-216.000000,-3.237349,16.277328,0.000,0.938
0.120000,18.000,-0.300000,3.000,-144.000000,-3.718143,36.493870,-36.000,0.938
0.125000,9.000,-0.300000,3.000,-72.000000,-3.947526,59.192699,-45.000,0.938
0.130000,0.000,0.300000,3.000,0.000000,-3.947526,92.846024,-36.000,0.938
