timestamp,roll_angle,steering_output,final_steer,target_speed,p_term,i_term,d_term,error,stability_factor,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.002000,0.005,0.000809,0.000809,4.989,-0.000779,0.000000,-0.000029,0.000,0.003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.004000,0.023,0.047812,0.047812,4.622,-0.003517,0.000000,-0.044295,0.000,0.149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.006000,0.003,-0.053367,-0.053367,4.579,-0.000457,0.000000,0.053824,0.000,0.167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.008000,0.025,0.005486,0.005486,4.952,-0.003691,0.000000,-0.001795,0.000,0.017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.010000,0.012,-0.060812,-0.060812,4.521,-0.001869,0.000000,0.062680,-0.005,0.190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.012000,0.006,-0.087672,-0.087672,4.311,-0.000856,0.000000,0.088528,-0.023,0.274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.014000,0.011,-0.102442,-0.102442,4.196,-0.001638,0.000000,0.104080,-0.003,0.320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.016000,0.011,-0.003972,-0.003972,4.964,-0.001675,0.000000,0.005647,-0.025,0.012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.018000,-0.005,-0.071580,-0.071580,4.437,0.000812,0.000000,0.070768,-0.012,0.224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.020000,0.009,0.035928,0.035928,4.715,-0.001336,0.000000,-0.034592,-0.006,0.112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.022000,-0.018,-0.283578,-0.283578,2.997,0.002728,0.000000,0.280849,-0.011,0.886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.024000,-0.003,-0.287314,-0.287314,2.997,0.000514,0.000000,0.286800,-0.011,0.898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.026000,-0.002,-0.277469,-0.277469,2.997,0.000231,0.000000,0.277238,0.005,0.867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.028000,-0.019,-0.320000,-0.320000,2.997,0.002893,0.000000,0.363318,-0.009,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.030000,-0.027,-0.320000,-0.320000,2.997,0.004064,0.000000,0.446300,0.018,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.032000,-0.016,-0.072182,-0.072182,4.432,0.002442,0.000000,0.069739,0.003,0.226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.034000,-0.043,-0.193065,-0.193065,3.488,0.006446,0.000000,0.186619,0.002,0.603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.036000,-0.047,-0.262906,-0.262906,2.997,0.007121,0.000000,0.255785,0.019,0.822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.038000,-0.045,-0.136184,-0.136184,3.932,0.006730,0.000000,0.129454,0.027,0.426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.040000,-0.087,-0.158767,-0.158767,3.756,0.013027,0.000000,0.145740,0.016,0.496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.042000,-0.082,-0.135761,-0.135761,3.936,0.012316,0.000000,0.123445,0.043,0.424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.044000,-0.091,-0.147687,-0.147687,3.843,0.013576,0.000000,0.134111,0.047,0.462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.046000,-0.110,-0.320000,-0.320000,2.997,0.016531,0.000000,0.336047,0.045,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.048000,-0.124,-0.320000,-0.320000,2.997,0.018573,0.000000,0.447744,0.087,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.050000,-0.141,-0.320000,-0.320000,2.997,0.021124,0.000000,0.604369,0.082,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.052000,-0.184,-0.320000,-0.320000,5.994,0.027607,0.000000,0.662152,0.091,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.054000,-0.189,-0.320000,-0.320000,5.994,0.028414,0.000000,0.584179,0.110,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.056000,-0.183,-0.319765,-0.319765,5.994,0.027406,0.000000,0.292359,0.124,0.999,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.058000,-0.239,-0.320000,-0.320000,5.994,0.035818,0.000000,0.832424,0.141,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.060000,-0.248,-0.320000,-0.320000,5.994,0.037170,0.000000,0.668176,0.184,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.062000,-0.307,-0.320000,-0.320000,5.994,0.046083,0.000000,1.577956,0.189,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.064000,-0.325,-0.320000,-0.320000,5.994,0.048771,0.000000,1.649929,0.183,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.066000,-0.359,-0.320000,-0.320000,5.994,0.053856,0.000000,2.109154,0.239,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.068000,-0.392,-0.320000,-0.320000,5.994,0.058811,0.000000,1.969682,0.248,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.070000,-0.428,-0.320000,-0.320000,5.994,0.064254,0.000000,2.466212,0.307,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
