timestamp,roll_angle,steering_output,final_steer,target_speed,actual_speed_kmh,actual_handlebar_angle,p_term,i_term,d_term,error,stability_factor,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage,x,y,v,yaw
0.002000,-0.010,-0.020430,-0.020430,4.321,0.00,0.022083,0.020005,0.000000,0.000425,0.000,0.014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.327,0.007,-2.617960
0.004000,-0.010,-0.022521,-0.022521,4.321,1.30,0.021234,0.020358,0.000021,0.002141,0.000,0.015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.014,-2.617888
0.006000,-0.010,-0.024992,-0.024992,4.321,2.44,0.020359,0.020777,0.000042,0.004172,0.000,0.017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.017,-2.617812
0.008000,-0.011,-0.027611,-0.027611,4.321,3.35,0.019452,0.021247,0.000066,0.006298,0.000,0.018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.019,-2.617733
0.010000,-0.011,-0.035494,-0.035494,4.321,4.08,0.018510,0.021770,0.000074,0.013651,0.010,0.024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.022,-2.617651
0.012000,-0.011,-0.038498,-0.038498,4.321,4.67,0.017430,0.022332,0.000096,0.016070,0.010,0.026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.024,-2.617555
0.014000,-0.011,-0.044953,-0.044953,4.321,5.13,0.016312,0.022897,0.000104,0.021952,0.010,0.030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.024,-2.617456
0.016000,-0.012,-0.046756,-0.046756,4.321,5.51,0.015087,0.023469,0.000125,0.023162,0.011,0.031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.024,-2.617348
0.018000,-0.012,-0.048238,-0.048238,4.321,5.81,0.013850,0.024043,0.000148,0.024047,0.011,0.032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.024,-2.617239
0.020000,-0.012,-0.044988,-0.044988,4.321,6.04,0.012608,0.024618,0.000168,0.020202,0.011,0.030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.024,-2.617129
0.022000,-0.013,-0.051286,-0.051286,4.321,6.24,0.011456,0.025189,0.000176,0.025920,0.011,0.034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.024,-2.617026
0.024000,-0.013,-0.047398,-0.047398,4.321,6.39,0.010201,0.025767,0.000200,0.021430,0.012,0.032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.024,-2.616915
0.026000,-0.013,-0.048009,-0.048009,4.321,6.51,0.009049,0.026340,0.000224,0.021445,0.012,0.032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.024,-2.616812
0.028000,-0.013,-0.053773,-0.053773,4.321,6.61,0.007908,0.026914,0.000233,0.026626,0.012,0.036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.024,-2.616709
0.030000,-0.014,-0.054849,-0.054849,4.321,6.69,0.006675,0.027494,0.000253,0.027103,0.013,0.037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.024,-2.616599
0.032000,-0.014,-0.051050,-0.051050,4.321,6.75,0.005444,0.028074,0.000273,0.022703,0.013,0.034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.024,-2.616489
0.034000,-0.014,-0.057626,-0.057626,4.321,6.80,0.004314,0.028650,0.000282,0.028694,0.013,0.038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.024,-2.616387
0.036000,-0.015,-0.058398,-0.058398,4.321,6.84,0.003075,0.029233,0.000307,0.028859,0.013,0.039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.024,-2.616276
0.038000,-0.015,-0.059198,-0.059198,4.321,6.87,0.001846,0.029816,0.000317,0.029065,0.014,0.039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.324,0.024,-2.616165
0.040000,-0.015,-0.059325,-0.059325,4.321,6.90,0.000625,0.030400,0.000342,0.028583,0.014,0.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.324,0.024,-2.616055
0.042000,-0.015,-0.059008,-0.059008,4.321,6.92,-0.000574,0.030984,0.000370,0.027654,0.014,0.039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.324,0.024,-2.615947
0.044000,-0.016,-0.058990,-0.058990,4.321,6.93,-0.001743,0.031567,0.000381,0.027042,0.015,0.039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.324,0.024,-2.615841
0.046000,-0.016,-0.059976,-0.059976,4.321,6.95,-0.002888,0.032149,0.000406,0.027421,0.015,0.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.166,-46.324,0.023,-2.615737
0.048000,-0.016,-0.056398,-0.056398,4.321,6.96,-0.004029,0.032733,0.000428,0.023237,0.015,0.038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.166,-46.324,0.023,-2.615633
0.050000,-0.017,-0.062602,-0.062602,4.321,6.97,-0.005077,0.033312,0.000439,0.028851,0.015,0.042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.166,-46.324,0.023,-2.615538
0.052000,-0.017,-0.060687,-0.060687,4.321,6.97,-0.006227,0.033898,0.000996,0.025794,0.016,0.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.166,-46.324,0.023,-2.615433
0.054000,-0.017,-0.057516,-0.057516,4.321,6.98,-0.007317,0.034481,0.001017,0.022017,0.016,0.038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.166,-46.323,0.023,-2.615333
0.056000,-0.018,-0.056783,-0.056783,4.321,6.98,-0.008321,0.035061,0.001059,0.020663,0.016,0.038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.166,-46.323,0.023,-2.615240
0.058000,-0.018,-0.060926,-0.060926,4.321,6.99,-0.009290,0.035639,0.001072,0.024215,0.017,0.041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.166,-46.323,0.023,-2.615150
0.060000,-0.018,-0.056240,-0.028120,4.321,6.99,-0.010323,0.036222,0.001100,0.018918,0.017,0.037,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.166,-46.323,0.023,-2.615055
0.062000,-0.018,-0.059270,-0.029635,4.321,6.99,-0.010901,0.036781,0.001139,0.021351,0.017,0.040,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.166,-46.323,0.023,-2.614998
0.064000,-0.019,-0.057256,-0.028628,4.321,6.99,-0.011276,0.037329,0.001188,0.018740,0.018,0.038,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.166,-46.323,0.023,-2.614959
0.066000,-0.019,-0.058154,-0.029077,4.321,6.99,-0.011623,0.037876,0.001225,0.019053,0.018,0.039,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.166,-46.323,0.023,-2.614921
0.068000,-0.019,-0.058095,-0.029048,4.321,7.00,-0.011972,0.038424,0.001240,0.018431,0.018,0.039,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.166,-46.323,0.023,-2.614884
0.070000,-0.019,-0.058422,-0.029211,4.321,7.00,-0.012314,0.038972,0.001270,0.018179,0.018,0.039,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.166,-46.322,0.023,-2.614847
0.072000,-0.020,-0.060335,-0.030167,4.321,7.00,-0.012652,0.039521,0.001298,0.019516,0.019,0.040,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.023,-2.614810
0.074000,-0.020,-0.067543,-0.033771,4.321,7.00,-0.013002,0.040072,0.001310,0.026160,0.019,0.045,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.023,-2.614772
0.076000,-0.020,-0.068768,-0.034384,4.321,7.00,-0.013417,0.040627,0.001343,0.026797,0.019,0.046,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.023,-2.614728
0.078000,-0.021,-0.070901,-0.035451,4.321,7.00,-0.013837,0.041183,0.001357,0.028361,0.019,0.047,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.023,-2.614684
0.080000,-0.021,-0.070913,-0.035456,4.321,7.00,-0.014269,0.041741,0.001396,0.027776,0.020,0.047,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.023,-2.614638
0.082000,-0.021,-0.067768,-0.033884,4.321,5.68,-0.014693,0.041856,0.001432,0.024480,0.020,0.045,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.059,-2.614607
0.084000,-0.021,-0.053149,-0.026574,4.321,4.50,-0.015077,0.041462,0.001447,0.010239,0.020,0.035,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.100,-2.614576
0.086000,-0.020,-0.043541,-0.021770,4.321,3.48,-0.015307,0.040648,0.001478,0.001415,0.021,0.029,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.137,-2.614552
0.088000,-0.020,-0.025749,-0.012875,4.321,2.59,-0.015436,0.039512,0.001506,-0.015268,0.021,0.017,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.170,-2.614533
0.090000,-0.019,0.000448,0.000224,4.321,1.84,-0.015385,0.038134,0.001518,-0.040100,0.021,0.000,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.200,-2.614524
0.092000,-0.018,0.011839,0.005919,4.321,1.21,-0.015073,0.036584,0.001549,-0.049971,0.021,0.008,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.228,-2.614533
0.094000,-0.017,0.030444,0.015222,4.321,0.70,-0.014653,0.034934,0.001562,-0.066940,0.020,0.020,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.252,-2.614547
0.096000,-0.017,0.038258,0.019129,4.321,0.29,-0.014056,0.033232,0.001586,-0.073076,0.020,0.026,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.275,-2.614573
0.098000,-0.016,0.041709,0.020855,4.321,-0.01,-0.013393,0.031520,0.001614,-0.074843,0.019,0.028,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.322,0.297,-2.614604
0.100000,-0.015,-0.030388,-0.015194,4.321,-0.22,-0.012708,0.029864,0.000000,0.000524,0.000,0.020,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.321,0.316,-2.614646
0.102000,-0.014,-0.027402,-0.013701,4.321,-0.31,-0.012469,0.028342,0.000135,-0.001075,0.000,0.018,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.321,0.334,-2.614673
0.104000,-0.013,-0.010781,-0.005391,4.321,-0.22,-0.012493,0.026939,0.000147,-0.016305,0.000,0.007,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.321,0.349,-2.614696
0.106000,-0.013,-0.003828,-0.001914,4.321,0.05,-0.012351,0.025632,0.000177,-0.021981,0.000,0.003,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.167,-46.321,0.362,-2.614750
0.108000,-0.012,0.013307,0.006653,4.321,0.47,-0.012143,0.024425,0.000186,-0.037918,0.015,0.009,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.168,-46.321,0.375,-2.614825
0.110000,-0.012,0.022363,0.011181,4.321,1.01,-0.011767,0.023311,0.000204,-0.045877,0.014,0.015,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.168,-46.321,0.388,-2.614931
0.112000,-0.011,0.028536,0.014268,4.321,1.64,-0.011308,0.022295,0.000220,-0.051051,0.013,0.019,0.057813,0.000000,0.000000,0.115625,0.000000,-0.093373,1,1.06,0.168,-46.320,0.401,-2.615060
