timestamp,roll_angle,steering_output,final_steer,target_speed,actual_speed_kmh,actual_handlebar_angle,p_term,i_term,d_term,error,stability_factor,pos_x,pos_y,pos_z,yaw,pitch,roll_world,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.002000,0.005,0.010047,0.010047,5.000,0.00,-0.000001,-0.009049,0.000000,-0.000998,0.000,0.020,-17.715,-19.257,0.367,3.141444,-0.004524,-0.000591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.004000,0.005,0.008517,0.008517,5.000,1.30,0.000201,-0.009031,0.000000,0.000514,0.000,0.017,-17.715,-19.257,0.367,3.141449,-0.004516,-0.000933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.006000,0.004,0.007297,0.007297,5.000,2.66,0.000367,-0.008999,0.000000,0.001702,0.000,0.015,-17.715,-19.257,0.367,3.141443,-0.004500,-0.001390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.008000,0.004,0.006692,0.006692,5.000,3.75,0.000506,-0.008952,0.000000,0.002259,0.000,0.013,-17.715,-19.257,0.367,3.141429,-0.004476,-0.001913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.010000,0.004,0.002493,0.002493,5.000,4.62,0.000629,-0.008890,0.000000,0.006397,-0.005,0.005,-17.715,-19.257,0.366,3.141407,-0.004445,-0.002503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.012000,0.004,-0.010212,-0.010212,5.000,5.32,0.000667,-0.008810,0.000000,0.019022,-0.005,0.020,-17.715,-19.257,0.366,3.141371,-0.004406,-0.003158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.014000,0.004,-0.023025,-0.023025,5.000,5.87,0.000449,-0.008710,0.000000,0.031735,-0.004,0.046,-17.715,-19.257,0.366,3.141308,-0.004356,-0.003849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.016000,0.004,-0.023426,-0.023426,5.000,6.32,-0.000020,-0.008598,0.000000,0.032024,-0.004,0.047,-17.715,-19.256,0.365,3.141223,-0.004301,-0.004539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.018000,0.004,-0.030507,-0.030507,5.000,6.67,-0.000488,-0.008484,0.000000,0.038991,-0.004,0.061,-17.715,-19.256,0.365,3.141138,-0.004244,-0.005229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.020000,0.004,-0.044131,-0.044131,5.000,6.96,-0.001088,-0.008363,0.000000,0.052493,-0.004,0.088,-17.715,-19.256,0.365,3.141041,-0.004185,-0.005919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.022000,0.004,-0.051746,-0.051746,5.000,7.19,-0.001949,-0.008229,0.000000,0.059974,-0.004,0.103,-17.715,-19.256,0.364,3.140921,-0.004119,-0.006608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.024000,0.004,-0.039617,-0.039617,5.000,7.37,-0.002944,-0.008087,0.000000,0.047704,-0.004,0.079,-17.715,-19.256,0.364,3.140789,-0.004049,-0.007297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.026000,0.004,-0.046653,-0.046653,5.000,7.52,-0.003678,-0.007956,0.000000,0.054609,-0.004,0.093,-17.715,-19.256,0.363,3.140680,-0.003985,-0.007986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.028000,0.004,-0.060517,-0.060517,5.000,7.63,-0.004537,-0.007818,0.000000,0.068335,-0.004,0.121,-17.715,-19.255,0.362,3.140560,-0.003918,-0.008675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.030000,0.004,-0.064509,-0.064509,5.000,7.73,-0.005657,-0.007667,0.000000,0.072176,-0.004,0.129,-17.715,-19.255,0.362,3.140417,-0.003845,-0.009364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.032000,0.004,-0.047751,-0.047751,5.000,7.80,-0.006834,-0.007512,0.000000,0.055262,-0.004,0.096,-17.714,-19.255,0.361,3.140269,-0.003769,-0.010052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.034000,0.004,-0.055777,-0.055777,5.000,7.86,-0.007652,-0.007371,0.000000,0.063148,-0.004,0.112,-17.714,-19.255,0.360,3.140153,-0.003701,-0.010740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.036000,0.004,-0.114490,-0.114490,5.000,7.91,-0.008615,-0.007223,0.000000,0.121713,-0.004,0.229,-17.714,-19.255,0.360,3.140025,-0.003630,-0.011428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
