                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4735,                  3.902,                 3.1731,                 1.5669,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0003625,              0.0003625,              0.0003625
                      2,                 1.2018,                 2.7354,                 4.2779,                   1.36,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00073507,             0.00073507,             0.00073507
                      3,                 1.4132,                 3.7706,                 3.0114,                 1.5148,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011052,              0.0011052,              0.0011052
                      4,                 1.5475,                 3.9026,                 3.5879,                 1.5038,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012376,              0.0012376,              0.0012376
                      5,                  1.483,                 3.3868,                 2.9478,                 1.5021,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012376,              0.0012376,              0.0012376
                      6,                  1.577,                 3.3324,                 2.7885,                  1.612,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012335,              0.0012335,              0.0012335
                      7,                  1.392,                 2.9824,                 2.5212,                 1.5154,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.4067,                 2.8301,                 2.2579,                  1.474,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012252,              0.0012252,              0.0012252
                      9,                  1.384,                 2.6501,                 2.2826,                 1.4383,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.6058,                 3.0116,                 2.7028,                 1.6125,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001217,               0.001217,               0.001217
                     11,                 1.6291,                 3.9625,                  2.367,                 1.6509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.7963,                 3.6349,                 2.5266,                 1.7929,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.6547,                 3.0629,                 2.4677,                 1.6667,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0012046,              0.0012046,              0.0012046
