timestamp,roll_angle,steering_output,final_steer,target_speed,actual_speed_kmh,actual_handlebar_angle,p_term,i_term,d_term,error,stability_factor,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.010000,-0.003,-0.036835,-0.036835,4.321,0.00,-0.003083,0.005768,0.000005,0.031062,0.000,0.025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.020000,-0.003,-0.037978,-0.037978,4.321,1.40,-0.006457,0.005948,0.000011,0.032019,0.000,0.025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.030000,-0.003,-0.038735,-0.038735,4.321,2.52,-0.009609,0.006087,0.000018,0.032631,0.000,0.026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.040000,-0.003,-0.039294,-0.039294,4.321,3.42,-0.012522,0.006183,0.000024,0.033086,0.000,0.026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.050000,-0.003,-0.039619,-0.039619,4.321,4.13,-0.015199,0.006238,0.000031,0.033350,0.003,0.026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.060000,-0.003,-0.008640,-0.008640,4.321,4.71,-0.017641,0.006252,0.000038,0.002350,0.003,0.006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.070000,-0.003,-0.006524,-0.006524,4.321,5.16,-0.016742,0.006060,0.000044,0.000421,0.003,0.004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.080000,-0.003,-0.003722,-0.003722,4.321,5.53,-0.015721,0.005726,0.000049,-0.002053,0.003,0.002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.090000,-0.003,-0.000267,-0.000267,4.321,5.83,-0.014521,0.005292,0.000053,-0.005079,0.003,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.100000,-0.002,0.003536,0.003536,4.321,4.89,-0.013097,0.004851,0.000057,-0.008444,0.003,0.002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
0.110000,-0.002,0.006797,0.006797,4.321,4.09,-0.011434,0.004442,0.000060,-0.011299,0.003,0.005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00
