timestamp,roll_angle,steering_output,final_steer,target_speed,actual_speed_kmh,actual_handlebar_angle,p_term,i_term,d_term,error,stability_factor,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.002000,-0.010,-0.020376,-0.020376,4.321,0.00,0.022083,0.020005,0.000000,0.000371,0.000,0.014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.004000,-0.010,-0.024947,-0.024947,4.321,1.30,0.021235,0.020358,0.000009,0.004581,0.000,0.017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.006000,-0.010,-0.028460,-0.028460,4.321,2.44,0.020311,0.020779,0.000023,0.007658,0.000,0.019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.008000,-0.011,-0.032555,-0.032555,4.321,3.35,0.019336,0.021253,0.000037,0.011264,0.000,0.022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.010000,-0.011,-0.041945,-0.041945,4.321,4.08,0.018298,0.021781,0.000043,0.020121,0.010,0.028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.012000,-0.011,-0.046483,-0.046483,4.321,4.67,0.017093,0.022350,0.000058,0.024075,0.010,0.031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.014000,-0.011,-0.050411,-0.050411,4.321,5.13,0.015822,0.022924,0.000067,0.027420,0.010,0.034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.016000,-0.012,-0.051906,-0.051906,4.321,5.51,0.014497,0.023501,0.000084,0.028321,0.011,0.035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.018000,-0.012,-0.057756,-0.057756,4.321,5.81,0.013169,0.024080,0.000092,0.033584,0.011,0.039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.020000,-0.012,-0.055099,-0.055099,4.321,6.04,0.011751,0.024665,0.000104,0.030329,0.011,0.037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.022000,-0.013,-0.060624,-0.060624,4.321,6.24,0.010414,0.025247,0.000112,0.035265,0.011,0.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.024000,-0.013,-0.061722,-0.061722,4.321,6.39,0.008993,0.025834,0.000122,0.035767,0.012,0.041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.026000,-0.013,-0.063276,-0.063276,4.321,6.51,0.007579,0.026422,0.000138,0.036717,0.012,0.042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.028000,-0.014,-0.063715,-0.063715,4.321,6.61,0.006162,0.027011,0.000147,0.036558,0.012,0.042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.030000,-0.014,-0.071774,-0.071774,4.321,6.69,0.004764,0.027600,0.000153,0.044022,0.013,0.048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.032000,-0.014,-0.067719,-0.067719,4.321,6.75,0.003234,0.028197,0.000171,0.039350,0.013,0.045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.034000,-0.014,-0.070475,-0.070475,4.321,6.80,0.001814,0.028789,0.000180,0.041506,0.013,0.047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.036000,-0.015,-0.078127,-0.078127,4.321,6.84,0.000369,0.029384,0.000187,0.048556,0.014,0.052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.038000,-0.015,-0.081568,-0.081568,4.321,6.87,-0.001201,0.029987,0.000195,0.051387,0.014,0.054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.040000,-0.015,-0.073699,-0.073699,4.321,6.90,-0.002808,0.030593,0.000215,0.042892,0.014,0.049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.042000,-0.016,-0.072396,-0.072396,4.321,6.92,-0.004226,0.031189,0.000250,0.040957,0.014,0.048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.044000,-0.016,-0.068242,-0.068242,4.321,6.93,-0.005590,0.031783,0.000267,0.036191,0.015,0.045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.046000,-0.016,-0.066253,-0.066253,4.321,6.95,-0.006843,0.032373,0.000278,0.033603,0.015,0.044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.048000,-0.016,-0.059712,-0.059712,4.321,6.96,-0.008031,0.032959,0.000300,0.026453,0.015,0.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.050000,-0.017,-0.066356,-0.066356,4.321,6.97,-0.009065,0.033538,0.000309,0.032509,0.016,0.044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.052000,-0.017,-0.065056,-0.065056,4.321,6.97,-0.010211,0.034124,0.000913,0.030018,0.016,0.043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.054000,-0.017,-0.063746,-0.063746,4.321,6.98,-0.011308,0.034709,0.000942,0.028095,0.016,0.042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.056000,-0.018,-0.058309,-0.058309,4.321,6.98,-0.012357,0.035291,0.000973,0.022044,0.016,0.039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.058000,-0.018,-0.065493,-0.065493,4.321,6.99,-0.013276,0.035868,0.000982,0.028643,0.017,0.044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.060000,-0.018,-0.060853,-0.030426,4.321,6.99,-0.014320,0.036452,0.001002,0.023399,0.017,0.041,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07
0.062000,-0.019,-0.068644,-0.034322,4.321,6.99,-0.014910,0.037012,0.001016,0.030617,0.017,0.046,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07
0.064000,-0.019,-0.069545,-0.034773,4.321,6.99,-0.015298,0.037561,0.001043,0.030941,0.018,0.046,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07
0.066000,-0.019,-0.074728,-0.037364,4.321,6.99,-0.015688,0.038111,0.001056,0.035561,0.018,0.050,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07
0.068000,-0.019,-0.076680,-0.038340,4.321,7.00,-0.016121,0.038664,0.001065,0.036951,0.018,0.051,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07
0.070000,-0.020,-0.077137,-0.038568,4.321,7.00,-0.016566,0.039219,0.001086,0.036832,0.019,0.051,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07
0.072000,-0.020,-0.076140,-0.038070,4.321,7.00,-0.017006,0.039774,0.001105,0.035260,0.019,0.051,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07
